지 역,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년
동작구,33.009,41.995,54.049,68.728,78.155,74.402,67.597,66.575,66.25,66.309,66.542,55.59,56.929,56.639,57.745,67.003,69.927,72.782,77.73,85.685,90.522,89.947,90.98,91.822,92.601,92.89,93.499,95.233,97.489,100.271,104.764
관악구,32.68,43.303,55.691,77.586,86.602,78.995,72.43,71.033,70.721,70.89,71.003,58.325,59.962,59.87,61.111,69.374,72.238,75.09,80.241,87.138,91.443,90.631,91.497,91.953,92.764,93.004,93.758,95.33,97.645,100.256,104.311
서초구,25.502,33.989,49.717,66.781,75.617,72.522,62.947,60.861,59.856,60.221,60.13,50.586,52.172,52.158,53.37,63.988,68.374,71.697,76.438,83.247,87.559,85.773,87.377,87.784,88.811,89.286,90.907,94.345,97.211,100.226,104.632
강남구,23.37,32.331,47.589,65.049,71.958,68.757,60.407,58.158,56.812,57.474,57.255,47.708,49.087,49.89,51.062,62.606,66.874,69.461,74.14,80.972,85.38,83.686,85.261,85.419,86.388,87.027,89.308,93.073,96.613,100.305,105.26
송파구,24.241,33.68,47.401,64.005,73.217,68.834,60.647,59.029,58.917,59.425,59.291,49.369,50.674,50.733,51.512,62.844,67.23,69.614,74.915,81.82,86.461,84.827,86.385,86.888,87.897,88.296,90.951,94.266,97.136,100.24,104.852
강동구,26.86,36.865,52.158,66.597,75.42,72.442,67.477,66.541,66.761,67.377,67.56,56.784,58.906,58.543,59.406,67.605,71.916,74.231,78.424,85.478,89.818,88.113,89.592,90.095,90.84,91.147,92.595,94.627,97.256,100.297,104.425
부산(평균),-,-,-,-,-,-,-,-,91.099,91.465,90.649,75.674,76.617,76.209,76.582,79.094,79.96,80.681,82.183,84.234,86.057,85.908,85.999,87.044,88.419,89.95,91.36,93.442,96.333,100.354,106.884
중구,-,-,-,-,-,-,-,-,112.076,112.132,110.179,86.283,86.845,86.338,86.395,88.765,89.423,89.62,89.845,89.924,89.804,87.946,87.962,88.888,89.911,90.817,92.249,94.03,96.817,100.254,104.77
서구,-,-,-,-,-,-,-,-,100.528,100.749,99.643,83.864,84.434,84.957,84.898,86.682,87.334,87.579,88.139,88.759,88.875,88.239,88.255,89.104,90.141,91.487,92.504,94.517,97.031,100.288,106.045
동구,-,-,-,-,-,-,-,-,107.883,108.12,107.17,88.894,89.419,87.881,88.049,90.064,90.777,91.259,91.395,91.762,91.834,90.322,89.685,90.074,91.099,91.688,93.004,95.034,97.385,100.251,105.629
