연도,전국,서울,대구,경기도
2001,4.21,4.91,2.76,2.94
2002,5.08,5.36,4.78,5.98
2003,4.55,5.38,4.22,2.89
2004,6.55,5.99,4.86,6.05
2005,6.72,7.68,7.94,5.94
2006,4.09,3.73,4.23,3.6
2007,6.44,8.42,5.83,4.33
2008,3.84,1.79,3.94,4.2
2009,2.25,0.03,2.48,0.83
2010,6.79,7.08,8.62,7.05
2011,4.54,4.36,6.03,5.23
2012,3.74,4.66,3.19,3.29
2013,3.56,3.04,2.82,4.14
2014,3.77,2.9,5.34,4.86
2015,5.05,4.49,5.27,6.19
2016,2.5,2.73,1.8,3.63
