연도,전국,서울,대구,경기
2006,5.617,9.171,4.185,5.074
2007,3.886,5.882,2.911,4.229
2008,-0.319,-1.001,-0.451,-0.267
2009,0.955,1.396,0.284,1.217
2010,1.046,0.527,1.401,1.485
2011,1.166,0.966,1.398,1.47
2012,0.956,0.378,1.583,1.038
2013,1.135,1.206,1.679,0.912
2014,1.964,2.662,3.149,1.236
2015,2.402,2.688,4.059,1.733
2016,2.7,2.974,3.931,2.231
2017,3.879,4.315,4.58,3.45
